,label_value,score,sex,age_cat,race
1394,1,10,Male,25 - 45,African-American
1395,0,1,Female,Greater than 45,Caucasian
1396,1,2,Male,25 - 45,Caucasian
1397,1,4,Female,25 - 45,Caucasian
1398,1,10,Male,Less than 25,African-American
1399,0,2,Male,25 - 45,African-American
1400,1,10,Female,25 - 45,African-American
1401,1,1,Male,25 - 45,African-American
1402,1,8,Male,25 - 45,African-American
1403,1,4,Male,25 - 45,Caucasian
1404,0,2,Female,25 - 45,African-American
1405,1,8,Male,Less than 25,African-American
1406,0,6,Male,Less than 25,Other
1407,0,7,Male,Greater than 45,Caucasian
1408,1,5,Male,Greater than 45,Caucasian
1409,1,3,Female,Less than 25,African-American
1410,0,1,Male,Greater than 45,Caucasian
1411,0,3,Male,25 - 45,Caucasian
1412,0,4,Female,25 - 45,African-American
1413,0,2,Male,25 - 45,Caucasian
1414,1,1,Male,Greater than 45,African-American
1415,1,8,Female,25 - 45,African-American
1416,0,3,Male,25 - 45,Hispanic
1417,0,4,Male,25 - 45,Caucasian
1418,0,8,Male,Less than 25,African-American
1419,0,7,Male,Less than 25,African-American
1420,1,3,Male,25 - 45,Caucasian
1421,1,4,Male,25 - 45,African-American
1422,0,1,Male,Greater than 45,African-American
1423,1,2,Male,25 - 45,Other
1424,1,9,Male,25 - 45,African-American
1425,1,6,Female,25 - 45,African-American
1426,0,1,Male,25 - 45,African-American
1427,1,5,Male,Less than 25,Caucasian
1428,1,2,Male,25 - 45,Caucasian
1429,1,3,Male,Less than 25,African-American
1430,0,5,Male,25 - 45,Hispanic
1431,1,3,Female,25 - 45,Caucasian
1432,0,3,Female,25 - 45,African-American
1433,1,6,Male,25 - 45,African-American
1434,0,2,Male,Greater than 45,African-American
1435,1,9,Male,25 - 45,African-American
1436,0,1,Male,Greater than 45,Caucasian
1437,0,1,Female,Greater than 45,Caucasian
1438,0,6,Female,Less than 25,African-American
1439,0,7,Male,25 - 45,African-American
1440,1,6,Male,Greater than 45,African-American
1441,1,7,Male,25 - 45,African-American
1442,1,3,Male,25 - 45,Hispanic
1443,1,7,Male,Less than 25,African-American
1444,1,5,Female,25 - 45,African-American
1445,1,5,Male,Less than 25,African-American
1446,0,2,Male,25 - 45,African-American
1447,0,4,Male,25 - 45,Caucasian
1448,0,2,Female,25 - 45,African-American
1449,1,4,Male,Greater than 45,African-American
1450,1,2,Male,Greater than 45,Caucasian
1451,0,1,Male,Greater than 45,African-American
1452,0,1,Male,Greater than 45,Other
1453,0,6,Female,Less than 25,Caucasian
1454,1,6,Male,25 - 45,Caucasian
1455,1,4,Male,Less than 25,African-American
1456,1,9,Male,Less than 25,African-American
1457,1,8,Male,Less than 25,Caucasian
1458,0,1,Male,Greater than 45,Hispanic
1459,0,7,Male,25 - 45,Caucasian
1460,1,1,Male,25 - 45,African-American
1461,0,7,Male,Less than 25,African-American
1462,0,7,Female,25 - 45,Caucasian
1463,1,9,Male,25 - 45,African-American
1464,1,2,Male,Greater than 45,Caucasian
1465,0,8,Female,Greater than 45,Caucasian
1466,0,8,Male,Less than 25,African-American
1467,1,10,Male,25 - 45,African-American
1468,0,9,Female,Less than 25,African-American
1469,1,10,Male,25 - 45,African-American
1470,0,1,Male,25 - 45,Other
1471,0,3,Male,Greater than 45,Caucasian
1472,1,6,Female,Less than 25,Caucasian
1473,0,3,Male,25 - 45,African-American
1474,0,1,Female,Greater than 45,African-American
1475,1,3,Male,Less than 25,African-American
1476,0,3,Male,25 - 45,Native American
1477,0,7,Female,25 - 45,Caucasian
1478,0,6,Female,Greater than 45,African-American
1479,1,8,Male,25 - 45,African-American
1480,0,10,Male,Greater than 45,Hispanic
1481,1,4,Male,Greater than 45,Caucasian
1482,0,1,Male,25 - 45,Other
1483,1,9,Male,25 - 45,Caucasian
1484,1,1,Male,Greater than 45,Caucasian
1485,0,7,Male,25 - 45,African-American
1486,1,4,Male,Less than 25,African-American
1487,1,1,Male,25 - 45,Hispanic
1488,0,3,Male,25 - 45,African-American
1489,1,10,Male,25 - 45,African-American
1490,0,1,Male,25 - 45,Caucasian
1491,0,3,Male,25 - 45,African-American
1492,0,4,Male,25 - 45,Hispanic
1493,1,9,Male,25 - 45,African-American
1494,1,10,Female,Less than 25,Caucasian
1495,1,2,Male,25 - 45,African-American
1496,0,1,Male,Greater than 45,Caucasian
1497,0,1,Male,25 - 45,Caucasian
1498,0,2,Male,25 - 45,Caucasian
1499,0,3,Male,Less than 25,Caucasian
1500,1,8,Male,Less than 25,Caucasian
1501,1,7,Male,25 - 45,Caucasian
1502,1,6,Male,Greater than 45,Caucasian
1503,1,9,Male,Less than 25,African-American
1504,0,1,Female,25 - 45,Caucasian
1505,0,1,Male,Greater than 45,Caucasian
1506,0,7,Male,Greater than 45,Caucasian
1507,1,6,Female,Less than 25,Hispanic
1508,0,2,Male,25 - 45,African-American
1509,1,2,Male,25 - 45,Other
1510,0,2,Male,Greater than 45,African-American
1511,0,1,Male,Greater than 45,Caucasian
1512,1,5,Male,25 - 45,African-American
1513,1,5,Male,Less than 25,Caucasian
1514,1,4,Female,Less than 25,African-American
1515,1,6,Male,25 - 45,African-American
1516,0,7,Male,25 - 45,African-American
1517,1,3,Male,Less than 25,Hispanic
1518,0,8,Male,25 - 45,African-American
1519,1,9,Male,Greater than 45,African-American
1520,0,2,Male,Less than 25,Asian
1521,1,10,Male,25 - 45,African-American
1522,0,1,Male,Greater than 45,Caucasian
1523,1,4,Male,25 - 45,Hispanic
1524,1,6,Male,25 - 45,African-American
1525,1,9,Male,Less than 25,African-American
1526,0,1,Male,Greater than 45,Hispanic
1527,1,7,Female,25 - 45,Caucasian
1528,0,8,Female,25 - 45,African-American
1529,0,1,Male,Greater than 45,Caucasian
1530,1,7,Female,Less than 25,African-American
1531,0,9,Male,Greater than 45,African-American
1532,1,10,Male,25 - 45,African-American
1533,0,1,Male,Greater than 45,African-American
1534,0,1,Male,Greater than 45,Caucasian
1535,1,3,Male,Less than 25,African-American
1536,1,3,Male,Less than 25,African-American
1537,1,1,Male,Greater than 45,Caucasian
1538,0,3,Male,25 - 45,African-American
1539,0,3,Male,Less than 25,Hispanic
1540,1,2,Female,Greater than 45,Caucasian
1541,0,1,Male,25 - 45,Caucasian
1542,0,3,Male,Greater than 45,Caucasian
1543,0,1,Male,25 - 45,Hispanic
1544,1,3,Female,25 - 45,Caucasian
1545,0,3,Female,25 - 45,African-American
1546,0,2,Male,25 - 45,Caucasian
1547,0,7,Male,Greater than 45,African-American
1548,0,4,Male,Less than 25,African-American
1549,1,9,Male,25 - 45,African-American
1550,0,5,Female,25 - 45,Hispanic
1551,1,1,Male,Greater than 45,Hispanic
1552,1,6,Male,Greater than 45,African-American
1553,0,1,Male,25 - 45,Other
1554,1,10,Female,Less than 25,African-American
1555,1,4,Male,25 - 45,African-American
1556,1,8,Male,Less than 25,Caucasian
1557,0,7,Male,25 - 45,Other
1558,0,1,Male,25 - 45,African-American
1559,1,8,Male,25 - 45,African-American
1560,1,4,Male,25 - 45,African-American
1561,0,3,Male,Less than 25,African-American
1562,1,5,Male,25 - 45,Caucasian
1563,0,4,Female,Greater than 45,Caucasian
1564,0,1,Female,Greater than 45,Caucasian
1565,1,5,Male,25 - 45,Hispanic
1566,0,8,Male,25 - 45,African-American
1567,0,1,Male,25 - 45,African-American
1568,1,7,Male,Greater than 45,African-American
1569,0,10,Male,25 - 45,African-American
1570,0,3,Female,Less than 25,African-American
1571,0,1,Female,Greater than 45,African-American
1572,1,6,Male,Less than 25,Hispanic
1573,0,1,Female,Greater than 45,Caucasian
1574,0,4,Female,25 - 45,Hispanic
1575,0,5,Female,25 - 45,African-American
1576,0,4,Male,25 - 45,Caucasian
1577,0,1,Male,Greater than 45,Hispanic
1578,1,2,Female,25 - 45,Caucasian
1579,0,1,Male,Greater than 45,Caucasian
1580,1,2,Male,25 - 45,Caucasian
1581,0,2,Male,25 - 45,Caucasian
1582,0,2,Male,25 - 45,African-American
1583,1,7,Male,25 - 45,Caucasian
1584,1,5,Male,Greater than 45,Caucasian
1585,1,10,Male,25 - 45,African-American
1586,0,9,Male,25 - 45,African-American
1587,0,3,Male,25 - 45,Caucasian
1588,1,1,Male,Greater than 45,African-American
1589,0,4,Female,Less than 25,Caucasian
1590,0,1,Male,25 - 45,African-American
1591,0,2,Male,25 - 45,Other
1592,0,1,Male,Greater than 45,Asian
1593,0,5,Female,Greater than 45,African-American
1594,0,2,Male,25 - 45,Other
1595,1,9,Male,Less than 25,African-American
1596,0,6,Male,25 - 45,Other
1597,0,6,Male,Greater than 45,African-American
1598,1,5,Male,25 - 45,African-American
1599,1,3,Male,Less than 25,Caucasian
1600,1,8,Male,Less than 25,African-American
1601,0,1,Male,Greater than 45,Caucasian
1602,1,7,Female,Greater than 45,Caucasian
1603,0,1,Male,25 - 45,Other
1604,0,6,Male,25 - 45,Caucasian
1605,0,1,Male,25 - 45,Other
1606,0,5,Male,25 - 45,African-American
1607,1,4,Male,Greater than 45,Caucasian
1608,0,2,Male,25 - 45,African-American
1609,0,9,Male,Greater than 45,African-American
1610,0,7,Male,25 - 45,African-American
1611,0,6,Male,25 - 45,African-American
1612,0,2,Male,Greater than 45,African-American
1613,0,6,Male,Greater than 45,Hispanic
1614,0,8,Male,25 - 45,Caucasian
1615,1,7,Male,Greater than 45,African-American
1616,0,1,Male,Greater than 45,Other
1617,1,8,Male,25 - 45,African-American
1618,1,6,Male,25 - 45,Caucasian
1619,0,3,Male,25 - 45,African-American
1620,1,7,Male,25 - 45,African-American
1621,0,1,Male,25 - 45,African-American
1622,0,1,Male,25 - 45,African-American
1623,0,1,Male,Greater than 45,Caucasian
1624,0,2,Female,25 - 45,African-American
1625,0,6,Female,25 - 45,Caucasian
1626,1,5,Male,25 - 45,African-American
1627,1,1,Female,Greater than 45,Caucasian
1628,0,6,Male,Less than 25,Hispanic
1629,1,5,Male,25 - 45,African-American
1630,1,6,Female,25 - 45,Caucasian
1631,1,7,Female,Less than 25,African-American
1632,0,5,Male,Less than 25,Caucasian
1633,0,9,Male,Less than 25,Other
1634,0,1,Male,Greater than 45,Other
1635,0,2,Male,Greater than 45,Caucasian
1636,1,7,Male,Greater than 45,Caucasian
1637,0,2,Male,Less than 25,African-American
1638,0,1,Male,Greater than 45,Hispanic
1639,1,5,Female,25 - 45,African-American
1640,1,2,Male,Less than 25,Caucasian
1641,0,6,Male,25 - 45,African-American
1642,1,5,Male,Less than 25,African-American
1643,0,3,Male,25 - 45,Hispanic
1644,1,7,Male,25 - 45,African-American
1645,1,10,Male,Less than 25,African-American
1646,1,9,Male,25 - 45,African-American
1647,0,10,Male,25 - 45,African-American
1648,0,3,Male,Less than 25,African-American
1649,0,3,Male,25 - 45,African-American
1650,0,8,Male,25 - 45,Hispanic
1651,1,7,Male,25 - 45,African-American
1652,1,3,Male,25 - 45,African-American
1653,0,5,Female,Less than 25,African-American
1654,0,3,Male,Greater than 45,African-American
1655,0,6,Male,Less than 25,Other
1656,0,2,Male,25 - 45,Caucasian
1657,0,1,Male,Greater than 45,Caucasian
1658,1,9,Male,25 - 45,African-American
1659,1,2,Male,25 - 45,African-American
1660,1,6,Male,Less than 25,African-American
1661,0,7,Male,25 - 45,African-American
1662,1,6,Male,Less than 25,Caucasian
1663,1,1,Male,Greater than 45,Caucasian
1664,0,10,Male,Greater than 45,African-American
1665,0,2,Female,25 - 45,African-American
1666,0,1,Male,Greater than 45,Caucasian
1667,1,7,Female,25 - 45,African-American
1668,0,3,Male,Less than 25,Caucasian
1669,0,2,Male,Greater than 45,Caucasian
1670,1,6,Male,25 - 45,African-American
1671,0,8,Male,25 - 45,African-American
1672,1,9,Male,25 - 45,Caucasian
1673,0,4,Male,Greater than 45,African-American
1674,1,6,Male,25 - 45,African-American
1675,0,1,Male,Greater than 45,African-American
1676,0,3,Male,25 - 45,Caucasian
1677,0,2,Female,Greater than 45,Caucasian
1678,0,7,Male,Less than 25,African-American
1679,0,8,Male,25 - 45,African-American
1680,1,9,Male,Less than 25,Caucasian
1681,1,10,Female,25 - 45,Caucasian
1682,0,4,Male,25 - 45,Hispanic
1683,1,1,Male,25 - 45,Other
1684,0,9,Male,25 - 45,African-American
1685,0,6,Male,25 - 45,Caucasian
1686,1,9,Male,Greater than 45,African-American
1687,0,2,Male,25 - 45,Caucasian
1688,1,8,Male,Less than 25,African-American
1689,1,5,Female,25 - 45,African-American
1690,1,6,Female,25 - 45,Caucasian
1691,0,7,Male,Less than 25,Caucasian
1692,1,6,Female,25 - 45,Caucasian
1693,1,5,Male,Less than 25,Caucasian
1694,1,4,Male,Greater than 45,Other
1695,0,1,Female,25 - 45,African-American
1696,0,1,Male,Greater than 45,Caucasian
1697,1,7,Male,25 - 45,African-American
1698,0,3,Male,Greater than 45,Caucasian
1699,0,3,Female,25 - 45,Caucasian
1700,0,7,Male,Less than 25,African-American
1701,0,1,Male,25 - 45,Caucasian
1702,0,3,Male,25 - 45,Hispanic
1703,0,4,Female,25 - 45,Hispanic
1704,1,6,Male,Less than 25,African-American
1705,1,3,Male,25 - 45,Caucasian
1706,0,5,Female,25 - 45,African-American
1707,0,1,Male,Greater than 45,African-American
1708,0,1,Female,Greater than 45,Hispanic
1709,0,2,Female,Greater than 45,Native American
1710,0,2,Male,Greater than 45,African-American
1711,1,6,Male,25 - 45,African-American
1712,0,8,Male,Greater than 45,Hispanic
1713,0,9,Male,25 - 45,African-American
1714,0,1,Female,Greater than 45,Caucasian
1715,1,3,Male,25 - 45,African-American
1716,0,7,Male,25 - 45,African-American
1717,0,2,Male,Greater than 45,African-American
1718,0,2,Female,25 - 45,African-American
1719,0,3,Male,25 - 45,African-American
1720,0,1,Male,Greater than 45,Caucasian
1721,0,4,Male,25 - 45,Caucasian
1722,0,1,Male,Greater than 45,African-American
1723,0,5,Male,Less than 25,Hispanic
1724,1,9,Male,25 - 45,African-American
1725,0,3,Male,25 - 45,African-American
1726,1,9,Male,25 - 45,African-American
1727,1,7,Male,25 - 45,Caucasian
1728,0,2,Male,25 - 45,African-American
1729,1,2,Male,Greater than 45,African-American
1730,0,2,Male,Greater than 45,Hispanic
1731,0,6,Male,25 - 45,African-American
1732,0,1,Male,Greater than 45,Caucasian
1733,1,9,Male,Greater than 45,African-American
1734,1,6,Male,25 - 45,Caucasian
1735,1,8,Male,25 - 45,Caucasian
1736,0,4,Male,Less than 25,Caucasian
1737,0,2,Male,25 - 45,African-American
1738,0,3,Male,25 - 45,Other
1739,0,9,Male,Less than 25,Hispanic
1740,0,1,Male,25 - 45,Caucasian
1741,1,3,Male,25 - 45,Caucasian
1742,0,6,Female,Greater than 45,Hispanic
1743,0,1,Male,Greater than 45,Caucasian
1744,0,1,Female,25 - 45,African-American
1745,0,2,Male,Greater than 45,African-American
1746,0,7,Male,25 - 45,African-American
1747,0,7,Male,25 - 45,African-American
1748,0,3,Male,Less than 25,African-American
1749,0,1,Male,Greater than 45,Caucasian
1750,0,1,Male,Greater than 45,African-American
1751,0,3,Male,25 - 45,Caucasian
1752,1,7,Female,25 - 45,Caucasian
1753,0,4,Male,Less than 25,African-American
1754,1,8,Male,25 - 45,African-American
1755,1,5,Female,25 - 45,African-American
1756,0,5,Male,Less than 25,Caucasian
1757,0,4,Female,25 - 45,Caucasian
1758,0,3,Male,Greater than 45,Caucasian
1759,1,8,Male,25 - 45,African-American
1760,1,9,Male,25 - 45,African-American
1761,0,2,Male,Less than 25,African-American
1762,1,4,Male,25 - 45,Caucasian
1763,0,5,Male,Less than 25,Caucasian
1764,0,3,Male,Less than 25,African-American
1765,0,2,Female,25 - 45,Caucasian
1766,0,8,Male,25 - 45,African-American
1767,0,3,Male,25 - 45,African-American
1768,0,2,Male,25 - 45,African-American
1769,0,1,Male,Greater than 45,Caucasian
1770,0,5,Female,Less than 25,African-American
1771,0,6,Female,25 - 45,African-American
1772,0,1,Male,Greater than 45,Caucasian
1773,1,1,Male,25 - 45,African-American
1774,0,2,Female,25 - 45,African-American
1775,1,1,Female,Greater than 45,Caucasian
1776,0,1,Male,Greater than 45,African-American
1777,1,1,Male,25 - 45,Hispanic
1778,0,4,Male,25 - 45,African-American
1779,0,9,Male,Greater than 45,Hispanic
1780,1,1,Female,Greater than 45,Caucasian
1781,0,4,Male,Less than 25,African-American
1782,0,7,Male,Greater than 45,African-American
1783,1,2,Male,25 - 45,African-American
1784,0,5,Female,25 - 45,African-American
1785,0,7,Male,25 - 45,Caucasian
1786,0,6,Male,25 - 45,African-American
1787,1,1,Male,25 - 45,Caucasian
1788,0,2,Male,25 - 45,Caucasian
1789,0,6,Male,Greater than 45,Hispanic
1790,1,5,Male,25 - 45,Caucasian
1791,1,3,Female,25 - 45,African-American
1792,1,4,Male,Less than 25,African-American
1793,0,1,Male,25 - 45,Hispanic
1794,1,10,Male,25 - 45,Other
1795,0,9,Male,25 - 45,Hispanic
1796,1,6,Male,25 - 45,African-American
1797,1,2,Male,Greater than 45,Caucasian
1798,0,3,Male,Less than 25,Asian
1799,1,6,Male,Less than 25,African-American
1800,0,4,Male,25 - 45,Hispanic
1801,1,7,Male,Greater than 45,African-American
1802,0,1,Male,Greater than 45,Other
1803,1,10,Male,25 - 45,African-American
1804,1,4,Male,25 - 45,Caucasian
1805,1,8,Male,25 - 45,African-American
1806,0,1,Male,25 - 45,Other
1807,1,3,Male,25 - 45,African-American
1808,1,7,Female,25 - 45,Caucasian
1809,0,7,Male,25 - 45,Caucasian
1810,1,1,Male,Greater than 45,Caucasian
1811,1,7,Male,Less than 25,Caucasian
1812,0,1,Male,25 - 45,Caucasian
1813,0,5,Male,25 - 45,African-American
1814,0,7,Male,25 - 45,African-American
1815,0,1,Female,Greater than 45,Hispanic
1816,0,5,Male,Greater than 45,Caucasian
1817,1,9,Male,25 - 45,African-American
1818,0,9,Female,25 - 45,Caucasian
1819,0,2,Male,25 - 45,African-American
1820,0,7,Male,25 - 45,Caucasian
1821,0,5,Male,25 - 45,African-American
1822,1,7,Male,Less than 25,African-American
1823,0,4,Male,25 - 45,Caucasian
1824,0,2,Female,25 - 45,African-American
1825,1,8,Male,25 - 45,African-American
1826,1,1,Male,Greater than 45,Caucasian
1827,0,4,Female,Less than 25,Other
1828,0,1,Male,25 - 45,Caucasian
1829,1,8,Male,Less than 25,African-American
1830,1,7,Female,Greater than 45,African-American
1831,1,7,Male,25 - 45,Caucasian
1832,0,6,Male,25 - 45,Caucasian
1833,0,3,Male,25 - 45,African-American
1834,0,1,Female,Greater than 45,Caucasian
1835,0,1,Male,Greater than 45,Caucasian
1836,1,9,Male,25 - 45,African-American
1837,0,4,Male,25 - 45,African-American
1838,1,5,Female,25 - 45,African-American
1839,0,1,Male,Greater than 45,Caucasian
1840,1,4,Male,Less than 25,Hispanic
1841,0,4,Male,25 - 45,Caucasian
1842,0,10,Male,25 - 45,African-American
1843,0,10,Male,25 - 45,African-American
1844,1,4,Male,25 - 45,Caucasian
1845,1,2,Male,25 - 45,African-American
1846,0,7,Male,Less than 25,African-American
1847,0,1,Male,25 - 45,Caucasian
1848,1,4,Male,25 - 45,African-American
1849,0,7,Male,Greater than 45,African-American
1850,1,10,Male,Less than 25,Hispanic
1851,0,3,Male,25 - 45,African-American
1852,0,3,Male,Less than 25,African-American
1853,1,10,Male,25 - 45,African-American
1854,1,3,Male,25 - 45,Caucasian
1855,0,9,Male,25 - 45,Caucasian
1856,1,10,Male,Less than 25,African-American
1857,0,1,Male,Greater than 45,Caucasian
1858,0,4,Female,25 - 45,Caucasian
1859,1,8,Male,Greater than 45,Hispanic
1860,1,3,Male,Less than 25,Caucasian
1861,1,7,Female,Less than 25,African-American
1862,0,3,Male,25 - 45,Hispanic
1863,0,1,Male,Greater than 45,African-American
1864,0,2,Male,25 - 45,Native American
1865,1,6,Male,25 - 45,Caucasian
1866,1,1,Male,Greater than 45,Asian
1867,0,1,Female,Greater than 45,African-American
1868,0,5,Male,Less than 25,Caucasian
1869,1,3,Male,Less than 25,African-American
1870,0,1,Male,25 - 45,Caucasian
1871,1,10,Male,Less than 25,Hispanic
1872,1,7,Male,Greater than 45,Caucasian
1873,1,1,Male,25 - 45,Caucasian
1874,1,8,Male,Less than 25,Caucasian
1875,0,5,Male,25 - 45,Other
1876,0,8,Male,25 - 45,African-American
1877,1,9,Male,25 - 45,African-American
1878,1,3,Female,25 - 45,African-American
1879,0,6,Male,25 - 45,African-American
1880,0,9,Male,25 - 45,African-American
1881,1,8,Male,25 - 45,Caucasian
1882,0,1,Male,25 - 45,African-American
1883,1,6,Male,25 - 45,African-American
1884,1,2,Male,Less than 25,Other
1885,1,4,Male,25 - 45,African-American
1886,1,4,Male,Less than 25,African-American
1887,0,2,Male,25 - 45,Caucasian
1888,0,7,Male,Less than 25,Caucasian
1889,0,1,Male,25 - 45,Hispanic
1890,1,7,Male,Less than 25,African-American
1891,1,9,Male,Less than 25,African-American
1892,1,9,Male,25 - 45,Caucasian
1893,1,2,Male,25 - 45,African-American
1894,1,9,Male,25 - 45,African-American
1895,1,8,Female,Less than 25,African-American
1896,0,3,Male,25 - 45,Caucasian
1897,0,3,Male,Greater than 45,Caucasian
1898,1,5,Male,25 - 45,Caucasian
1899,1,8,Male,25 - 45,African-American
1900,1,8,Male,25 - 45,African-American
1901,1,7,Male,25 - 45,African-American
1902,0,1,Male,25 - 45,African-American
1903,1,7,Female,Greater than 45,African-American
1904,1,5,Male,Less than 25,Hispanic
1905,0,1,Male,Greater than 45,African-American
1906,0,8,Male,25 - 45,African-American
1907,1,4,Male,25 - 45,African-American
1908,1,7,Male,25 - 45,Caucasian
1909,0,3,Female,25 - 45,Caucasian
1910,1,9,Male,25 - 45,Caucasian
1911,0,7,Male,Less than 25,African-American
1912,1,9,Male,25 - 45,African-American
1913,0,1,Male,25 - 45,Caucasian
1914,1,1,Male,25 - 45,African-American
1915,1,6,Male,Less than 25,African-American
1916,0,5,Male,Less than 25,African-American
1917,0,4,Male,25 - 45,Caucasian
1918,1,2,Male,25 - 45,African-American
1919,0,10,Male,25 - 45,African-American
1920,0,9,Male,25 - 45,African-American
1921,1,4,Male,25 - 45,Caucasian
1922,0,4,Male,25 - 45,Caucasian
1923,1,6,Female,25 - 45,Hispanic
1924,0,7,Male,Greater than 45,African-American
1925,0,1,Male,25 - 45,Other
1926,0,1,Male,Greater than 45,Hispanic
1927,1,3,Male,Less than 25,African-American
1928,1,5,Male,25 - 45,African-American
1929,0,2,Male,25 - 45,African-American
1930,0,3,Male,Less than 25,Caucasian
1931,1,10,Male,25 - 45,African-American
1932,0,2,Male,25 - 45,African-American
1933,0,2,Male,25 - 45,African-American
1934,1,8,Male,25 - 45,African-American
1935,1,3,Male,25 - 45,African-American
1936,0,1,Male,Greater than 45,Caucasian
1937,0,4,Male,25 - 45,African-American
1938,1,5,Male,Less than 25,Caucasian
1939,0,1,Male,25 - 45,African-American
1940,0,6,Female,Less than 25,African-American
1941,0,1,Male,25 - 45,Caucasian
1942,0,3,Male,25 - 45,Caucasian
1943,1,1,Male,Greater than 45,Caucasian
1944,0,4,Male,25 - 45,African-American
1945,0,3,Male,Less than 25,African-American
1946,0,4,Male,Less than 25,Caucasian
1947,0,2,Male,25 - 45,African-American
1948,0,5,Male,Greater than 45,Caucasian
1949,0,7,Male,25 - 45,African-American
1950,1,5,Male,25 - 45,African-American
1951,0,1,Male,25 - 45,African-American
1952,0,4,Male,25 - 45,Caucasian
1953,1,2,Male,Less than 25,Caucasian
1954,0,5,Male,25 - 45,Hispanic
1955,1,3,Male,25 - 45,African-American
1956,1,1,Male,Greater than 45,Caucasian
1957,0,2,Male,25 - 45,Native American
1958,0,1,Male,Greater than 45,African-American
1959,1,4,Female,Less than 25,Other
1960,1,5,Male,Greater than 45,African-American
1961,0,5,Male,25 - 45,African-American
1962,0,7,Female,Greater than 45,African-American
1963,0,8,Male,25 - 45,African-American
1964,1,9,Male,Greater than 45,African-American
1965,0,4,Female,25 - 45,Caucasian
1966,0,3,Male,Greater than 45,African-American
1967,1,1,Male,Greater than 45,Caucasian
1968,0,1,Male,Greater than 45,Caucasian
1969,0,1,Male,Greater than 45,Caucasian
1970,1,3,Male,Greater than 45,African-American
1971,0,1,Female,25 - 45,African-American
1972,1,8,Male,Less than 25,Hispanic
1973,0,9,Male,Greater than 45,African-American
1974,0,4,Male,Less than 25,Other
1975,1,9,Male,25 - 45,African-American
1976,0,4,Female,Less than 25,Hispanic
1977,0,4,Male,25 - 45,African-American
1978,1,8,Male,25 - 45,African-American
1979,0,6,Male,Less than 25,African-American
1980,1,2,Male,25 - 45,Caucasian
1981,0,4,Male,Greater than 45,Hispanic
1982,0,1,Male,Greater than 45,Caucasian
1983,1,7,Male,Less than 25,African-American
1984,1,1,Male,Greater than 45,Caucasian
1985,1,2,Male,Greater than 45,Caucasian
1986,0,9,Male,Greater than 45,African-American
1987,1,8,Female,25 - 45,African-American
1988,0,5,Male,25 - 45,African-American
1989,1,9,Male,25 - 45,African-American
1990,0,5,Male,25 - 45,African-American
1991,1,1,Male,Greater than 45,African-American
1992,1,10,Male,25 - 45,African-American
1993,0,3,Male,25 - 45,African-American
1994,1,10,Male,25 - 45,Caucasian
1995,0,4,Male,25 - 45,African-American
1996,0,6,Male,25 - 45,Other
1997,0,1,Female,25 - 45,African-American
1998,0,4,Male,25 - 45,Caucasian
1999,0,1,Female,25 - 45,African-American
2000,0,5,Male,Less than 25,Hispanic
2001,0,3,Female,Greater than 45,Caucasian
2002,1,1,Male,25 - 45,Caucasian
2003,0,1,Male,Greater than 45,African-American
2004,1,3,Male,25 - 45,Caucasian
2005,0,1,Female,25 - 45,African-American
2006,0,7,Male,25 - 45,African-American
2007,0,4,Male,25 - 45,African-American
2008,0,1,Male,Greater than 45,African-American
2009,0,2,Male,25 - 45,African-American
2010,0,2,Male,Greater than 45,African-American
2011,0,3,Male,25 - 45,African-American
2012,1,7,Male,25 - 45,African-American
2013,0,5,Male,25 - 45,African-American
2014,0,1,Male,25 - 45,Caucasian
2015,0,4,Female,25 - 45,African-American
2016,1,10,Male,25 - 45,African-American
2017,0,7,Male,25 - 45,African-American
2018,0,2,Male,25 - 45,Caucasian
2019,1,2,Female,25 - 45,African-American
2020,0,1,Male,25 - 45,Caucasian
2021,0,1,Male,Greater than 45,Caucasian
2022,0,2,Female,25 - 45,Caucasian
2023,0,2,Male,25 - 45,African-American
2024,0,4,Female,Greater than 45,African-American
2025,0,5,Male,Less than 25,African-American
2026,1,10,Male,25 - 45,Hispanic
2027,1,7,Male,25 - 45,African-American
2028,0,4,Female,Less than 25,African-American
2029,0,6,Male,25 - 45,African-American
2030,0,5,Female,Less than 25,Caucasian
2031,1,10,Male,25 - 45,African-American
2032,0,1,Male,Greater than 45,African-American
2033,0,2,Male,25 - 45,African-American
2034,0,1,Female,25 - 45,Other
2035,0,1,Male,Greater than 45,Caucasian
2036,1,4,Male,Less than 25,Caucasian
2037,0,9,Male,25 - 45,African-American
2038,0,8,Male,25 - 45,African-American
2039,1,3,Male,25 - 45,Hispanic
2040,1,8,Male,25 - 45,Asian
2041,0,4,Female,25 - 45,African-American
2042,1,10,Male,Less than 25,African-American
2043,1,6,Male,Less than 25,African-American
2044,0,4,Male,25 - 45,African-American
2045,1,4,Male,Less than 25,Hispanic
2046,0,4,Male,Greater than 45,Caucasian
2047,0,2,Male,Greater than 45,African-American
2048,0,6,Male,25 - 45,African-American
2049,1,5,Male,25 - 45,Hispanic
2050,1,3,Male,25 - 45,Hispanic
2051,1,4,Male,Less than 25,African-American
2052,0,8,Male,25 - 45,African-American
2053,0,1,Female,25 - 45,Caucasian
2054,0,8,Male,Greater than 45,Caucasian
2055,1,6,Male,25 - 45,African-American
2056,0,7,Male,25 - 45,Hispanic
2057,1,8,Male,25 - 45,Caucasian
